name,full_name,description,topics,stars,url
hey,bigint/hey,Hey is a decentralized and permissionless social media app built with Lens Protocol 🌿,"['blockchain', 'crypto', 'dapp', 'graphql', 'hacktoberfest', 'lens-protocol', 'nextjs', 'react', 'social-media', 'tailwindcss', 'turborepo', 'typescript', 'vitest', 'wagmi', 'web3']",29518,https://github.com/bigint/hey
fhevm,zama-ai/fhevm,"FHEVM, a full-stack framework for integrating Fully Homomorphic Encryption (FHE) with blockchain applications","['blockchain', 'fhe', 'privacy']",26002,https://github.com/zama-ai/fhevm
solidity,argotorg/solidity,"Solidity, the Smart Contract Programming Language","['blockchain', 'cpp', 'ethereum', 'hacktoberfest', 'language', 'programming-language', 'smartcontracts', 'solidity']",25487,https://github.com/argotorg/solidity
bitcoinbook,bitcoinbook/bitcoinbook,Mastering Bitcoin 3rd Edition - Programming the Open Blockchain,"['bitcoin', 'bitcoin-api', 'blockchain', 'oreilly', 'oreilly-books']",25014,https://github.com/bitcoinbook/bitcoinbook
ethereumbook,ethereumbook/ethereumbook,"Mastering Ethereum: 2nd Edition, by Andreas M. Antonopoulos, Gavin Wood, Carlo Parisi, Alessandro Mazza, Niccolò Pozzolini","['blockchain', 'book', 'dapp', 'devp2p', 'embark', 'ethereum', 'oreilly', 'smart-contracts', 'solidity', 'token', 'truffle-framework', 'web3js']",21376,https://github.com/ethereumbook/ethereumbook
gun,amark/gun,An open source cybersecurity protocol for syncing decentralized graph data.,"['artificial-intelligence', 'big-data', 'blockchain', 'crdt', 'crypto', 'cryptography', 'dapp', 'database', 'decentralized', 'dweb', 'encryption', 'end-to-end', 'graph', 'machine-learning', 'metaverse', 'offline-first', 'p2p', 'protocol', 'realtime', 'web3']",18838,https://github.com/amark/gun
diem,diem/diem,Diem’s mission is to build a trusted and innovative financial network that empowers people and businesses around the world.,['blockchain'],16709,https://github.com/diem/diem
fabric,hyperledger/fabric,Hyperledger Fabric is an enterprise-grade permissioned distributed ledger framework for developing solutions and applications. Its modular and versatile design satisfies a broad range of industry use cases. It offers a unique approach to consensus that enables performance at scale while preserving privacy.,"['blockchain', 'confidentiality', 'consensus', 'distributed-ledger', 'fabric', 'hyperledger']",16511,https://github.com/hyperledger/fabric
Qbot,UFund-Me/Qbot,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant,"['backtest', 'bitcoin', 'blockchain', 'deep-learning', 'fintech', 'funds', 'machine-learning', 'pytrade', 'qlib', 'quant-trade', 'quant-trader', 'quantitative-finance', 'quantitative-trading', 'quantization', 'strategies', 'trade-bot', 'trademarks']",15717,https://github.com/UFund-Me/Qbot
solana,solana-labs/solana,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.","['bitcoin', 'blockchain', 'ledger', 'performance-blockchain', 'rust', 'rustc', 'solana']",14726,https://github.com/solana-labs/solana
truffle,ConsenSys-archive/truffle,":warning: The Truffle Suite is being sunset. For information on ongoing support, migration options and FAQs, visit the Consensys blog. Thank you for all the support over the years.","['blockchain', 'ethereum', 'framework', 'hacktoberfest', 'javascript', 'smart-contract-tools', 'smart-contracts', 'solidity', 'truffle']",13993,https://github.com/ConsenSys-archive/truffle
full-blockchain-solidity-course-js,smartcontractkit/full-blockchain-solidity-course-js,"Learn Blockchain, Solidity, and Full Stack Web3 Development with Javascript","['alchemy', 'blockchain', 'chainlink', 'dao', 'defi', 'eth-security-toolbox', 'ethereum', 'hardhat', 'ipfs', 'javascript', 'moralis', 'nextjs', 'nft', 'openzeppelin', 'reactjs', 'remix', 'smart-contracts', 'solidity', 'thegraphprotocol', 'typescript']",13939,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
WTF-Solidity,AmazingAng/WTF-Solidity,WTF Solidity 极简入门教程，供小白们使用。Now supports English! 官网: https://wtf.academy,"['airdrop', 'auction', 'blockchain', 'dapp', 'dapps', 'erc20', 'erc721', 'ethereum', 'merkle-tree', 'nft', 'open-source', 'signature-verification', 'smart-contracts', 'solidity', 'solidity-contracts', 'tutorial-code', 'web3']",13789,https://github.com/AmazingAng/WTF-Solidity
full-blockchain-solidity-course-py,smartcontractkit/full-blockchain-solidity-course-py,"Ultimate Solidity, Blockchain, and Smart Contract - Beginner to Expert Full Course | Python Edition","['blockchain', 'chainlink', 'dapp', 'ethereum', 'smart-contracts', 'solidity', 'web3']",11232,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
TDC,mims-harvard/TDC,Therapeutics Commons (TDC): Multimodal Foundation for Therapeutic Science,"['artificial-intelligence', 'benchmarks', 'bioinformatics', 'biology', 'biomedicine', 'biotech', 'cheminformatics', 'chemistry', 'datasets', 'deep-learning', 'drug-discovery', 'machine-learning', 'medicine', 'precision-medicine', 'therapeutics']",1191,https://github.com/mims-harvard/TDC
pylabrobot,PyLabRobot/pylabrobot,interactive & hardware agnostic SDK for lab automation,"['biotech', 'lab-automation']",367,https://github.com/PyLabRobot/pylabrobot
awesome-deep-learning-4-life-sciences,virtualramblas/awesome-deep-learning-4-life-sciences,A collection of resources for Deep Learning in Python for Life Sciences (with focus on biotech and pharma).,"['biotech', 'cheminformatics', 'deeplearning', 'drug-discovery', 'drug-repurposing', 'molecules', 'pharmaceuticals', 'proteins', 'python']",146,https://github.com/virtualramblas/awesome-deep-learning-4-life-sciences
pioreactor,Pioreactor/pioreactor,"Hardware and software for accessible, extensible, and scalable bioreactors. Built on Raspberry Pi.","['algae', 'bacteria', 'biology', 'bioreactor', 'biotech', 'educators', 'evolution', 'fermentation', 'hardware', 'mqtt', 'raspberry-pi', 'raspberrypi', 'science', 'yeast']",131,https://github.com/Pioreactor/pioreactor
chaipcr,chaibio/chaipcr,The software behind Chai's open-source Real-Time PCR instrument,"['bioinformatics', 'biotech', 'biotechnology', 'pcr']",94,https://github.com/chaibio/chaipcr
SmartPeak,AutoFlowResearch/SmartPeak,"Fast and Accurate CE-, GC- and LC-MS(/MS) Data Processing","['analyses', 'bioinformatics', 'biotech', 'biotechnology', 'gc-ms', 'lc-ms', 'lc-msms', 'mass-spectrometry', 'ms-data']",51,https://github.com/AutoFlowResearch/SmartPeak
AI-for-Bio,dlopezyse/AI-for-Bio,A free and collaborative space for Machine Learning 🤖 applied to Biology 🧬,"['bioinformatics', 'biology', 'biotech', 'biotechnology', 'course', 'data-science', 'education', 'large-language-models', 'llms', 'machine-learning', 'notebooks', 'python']",45,https://github.com/dlopezyse/AI-for-Bio
awesome-ls-ventures,chupvl/awesome-ls-ventures,Awesome list of the data and AI/ML related projects with direct Life Science Companies participation,"['ai', 'biotech', 'drug-design', 'drug-development', 'drug-discovery', 'life-sciences', 'ml', 'pharma']",36,https://github.com/chupvl/awesome-ls-ventures
BioCoin,BioCoinLab/BioCoin,A decentralized platform on Solana enabling individuals to derive value from biological data through AI-driven analysis and complete data sovereignty. First ecosystem where data providers maintain control while contributing to scientific advancement with fair value distribution.,"['ai-valuation', 'biology', 'biotech', 'blockchain', 'data-marketplace', 'data-sovereignty', 'defi', 'healthcare', 'microbiome', 'solana', 'web3']",28,https://github.com/BioCoinLab/BioCoin
demuxalot,arogozhnikov/demuxalot,"Reliable, scalable, efficient demultiplexing for single-cell RNA sequencing","['biotech', 'demultiplexing', 'scrnaseq', 'single-cell-analysis']",26,https://github.com/arogozhnikov/demuxalot
ReactomePy,dvklopfenstein/ReactomePy,Explore biomolecular pathways in Reactome from the command-line or a Python script,"['bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'bioinformatics-scripts', 'bioinformatics-tool', 'biological-networks', 'biotech', 'biotechnology', 'molecular-biology', 'pathway-analysis', 'pathway-enrichment-analysis', 'pathway-models', 'protein-protein-interaction', 'reactome', 'reactome-pathway']",25,https://github.com/dvklopfenstein/ReactomePy
eightos,noduslabs/eightos,Bodymind Operating System ,"['8os', 'artificial-intelligence', 'best-practices', 'biotech', 'body', 'body-practice', 'eightos', 'life-experience', 'lifehack', 'lifestyle', 'movement', 'multimedia', 'music', 'operating-system', 'physical-movement', 'sound', 'video']",17,https://github.com/noduslabs/eightos
OpenHRStrap,MilosRasic98/OpenHRStrap,"OpenHRStrap is an open-source DIY chest-strap heart-rate tracker built around the ESP32. It measures real biosignals through electrodes, filters the signal, and applies the Pan–Tompkins algorithm to detect R-peaks and compute heart rate in real time.","['arduino', 'arduino-library', 'biotech', 'ecg', 'ecg-analyzer', 'ecg-classification', 'ecg-data', 'ecg-filtering', 'ecg-qrs-detection', 'ecg-signal', 'ecg-signal-python', 'ecg-signals', 'esp32', 'esp32-arduino', 'fitness-tracker', 'python', 'running', 'running-tracker']",17,https://github.com/MilosRasic98/OpenHRStrap
BioTech-Resources,robertosolari/BioTech-Resources,"Resources for learning Biotechnology, Biology, Synthetic Biology, Genomic and Bioinformatic","['bioinformatics', 'biology', 'biotech', 'biotechnology', 'genetics', 'synbio', 'synthetic-biology']",16,https://github.com/robertosolari/BioTech-Resources
Lodestone-biomagnet-tools,AxelFougues/Lodestone-biomagnet-tools,"Practical biomagnet stimulators for science, development and entertainment! Open source!","['biomagnet', 'biomedical', 'biotech', 'biotechnology', 'cyborg', 'cyborgs', 'haptic', 'haptic-feedback', 'haptics', 'implant', 'implants']",11,https://github.com/AxelFougues/Lodestone-biomagnet-tools
biotechblueprint,paulu-aws/biotechblueprint,AWS Biotech Blueprint Multi-Account,"['audit-account', 'aws', 'biotech', 'blueprint', 'cdk', 'control-tower', 'landingzone', 'research', 'sso', 'transit-account', 'transit-gateway', 'vpn-endpoint']",11,https://github.com/paulu-aws/biotechblueprint
Mycelium-Based-AI-Integration,Mattbusel/Mycelium-Based-AI-Integration,"This repository explores the intersection of synthetic biology and artificial intelligence by leveraging mycelium as a bio-computational substrate. The project aims to give AI systems a ""body"" by integrating machine learning models with the natural properties of mycelium, such as signal conduction, adaptive growth, and environmental reactivity.","['ai', 'biotech', 'biotechnology', 'machine-learning']",6,https://github.com/Mattbusel/Mycelium-Based-AI-Integration
BiotechRussianTranslate,peachboy0/BiotechRussianTranslate,Русский перевод для DLC Biotech для RimWorld,"['biotech', 'rimworld', 'rimworld-mod', 'translate']",6,https://github.com/peachboy0/BiotechRussianTranslate
bp,bionicles/bp,Bit Pharma is an international biosecurity and medical research risk management firm,"['ai', 'artificial-intelligence', 'biotech', 'deep-learning', 'javascript', 'marketplace', 'pharmaceuticals', 'python', 'react']",5,https://github.com/bionicles/bp
Gene-Editing-Guide-LM,hayitsian/Gene-Editing-Guide-LM,gRNA editing efficiency predictive model: expansion on GNL scorer.,"['biotech', 'crispr', 'regression-analysis']",4,https://github.com/hayitsian/Gene-Editing-Guide-LM
qlib,microsoft/qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","['algorithmic-trading', 'auto-quant', 'deep-learning', 'finance', 'fintech', 'investment', 'machine-learning', 'paper', 'platform', 'python', 'quant', 'quant-dataset', 'quant-models', 'quantitative-finance', 'quantitative-trading', 'research', 'research-paper', 'stock-data']",35284,https://github.com/microsoft/qlib
vnpy,vnpy/vnpy,基于Python的开源量化交易平台开发框架,"['algotrading', 'finance', 'fintech', 'investment', 'python', 'quant', 'trading', 'vnpy']",35238,https://github.com/vnpy/vnpy
FinGPT,AI4Finance-Foundation/FinGPT,FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.,"['chatgpt', 'finance', 'fingpt', 'fintech', 'large-language-models', 'machine-learning', 'nlp', 'prompt-engineering', 'pytorch', 'reinforcement-learning', 'robo-advisor', 'sentiment-analysis', 'technical-analysis']",18336,https://github.com/AI4Finance-Foundation/FinGPT
Qbot,UFund-Me/Qbot,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant,"['backtest', 'bitcoin', 'blockchain', 'deep-learning', 'fintech', 'funds', 'machine-learning', 'pytrade', 'qlib', 'quant-trade', 'quant-trader', 'quantitative-finance', 'quantitative-trading', 'quantization', 'strategies', 'trade-bot', 'trademarks']",15717,https://github.com/UFund-Me/Qbot
tushare,waditu/tushare,TuShare is a utility for crawling historical data of China stocks,"['finance', 'fintech', 'pandas', 'python', 'realtime-quotes-data', 'stock-data', 'stock-market', 'tushare']",14260,https://github.com/waditu/tushare
FinRL,AI4Finance-Foundation/FinRL,FinRL®:  Financial Reinforcement Learning. 🔥,"['algorithmic-trading', 'deep-reinforcement-learning', 'drl-algorithms', 'drl-framework', 'drl-trading-agents', 'finance', 'fintech', 'multi-agent-learning', 'openai-gym', 'pythorch', 'stock-markets', 'stock-trading', 'tensorflow2', 'trading-tasks']",13676,https://github.com/AI4Finance-Foundation/FinRL
akaunting,akaunting/akaunting,Online Accounting Software,"['accounting', 'akaunting', 'balance', 'billing', 'bookkeeping', 'budget', 'crm', 'erp', 'expenses', 'finance', 'fintech', 'invoices', 'invoicing', 'laravel', 'laravel-application', 'money', 'payments', 'payroll', 'php']",9491,https://github.com/akaunting/akaunting
lago,getlago/lago,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics","['analytics', 'billing', 'clickhouse', 'events', 'fintech', 'go', 'ingestion', 'invoices', 'metering', 'open-source', 'payments', 'pricing', 'pricing-data-science', 'react', 'ruby', 'self-hosted', 'subscriptions', 'usage-based-billing']",9020,https://github.com/getlago/lago
ghostfolio,ghostfolio/ghostfolio,Open Source Wealth Management Software. Angular + NestJS + Prisma + Nx + TypeScript 🤍,"['angular', 'etf', 'finance', 'fintech', 'ghostfolio', 'hacktoberfest', 'investing', 'nestjs', 'oss', 'personal-finance', 'portfolio', 'prisma', 'software', 'stock', 'tracker', 'trading', 'typescript', 'wealth-management', 'web']",7384,https://github.com/ghostfolio/ghostfolio
blockchain_guide,yeasy/blockchain_guide,"Introduce blockchain related technologies, from theory to practice with bitcoin, ethereum and hyperledger.","['bitcoin', 'blockchain', 'book', 'distributed-ledger', 'distributed-system', 'ethereum', 'fintech', 'hyperledger', 'technology']",7060,https://github.com/yeasy/blockchain_guide
wondertrader,wondertrader/wondertrader,WonderTrader——量化研发交易一站式框架,"['algotrading', 'cpp', 'cta', 'fintech', 'hft', 'python', 'quant', 'trading', 'wondertrader']",5762,https://github.com/wondertrader/wondertrader
moreThanFAANGM,Kaustubh-Natuskar/moreThanFAANGM,This repository contains opportunities for you to apply to more than 400 product base companies(NOT JUST FAANGM) & good start-ups.,"['appliances', 'ecommerce', 'edtech', 'electronics', 'engineering', 'faang', 'fintech', 'hacktoberfest', 'hacktoberfest-2024', 'it', 'jobs', 'non-tech', 'notjustfaang', 'notjusttech', 'opportunities', 'sde', 'semiconductor']",5013,https://github.com/Kaustubh-Natuskar/moreThanFAANGM
zvt,zvtvz/zvt,modular quant framework.,"['algorithmic-trading', 'backtesting', 'cryptocurrency', 'fintech', 'fundamental-analysis', 'machine-learning', 'ml', 'python', 'quant', 'quantitative-finance', 'quantitative-trading', 'stock', 'stock-market', 'technical-analysis', 'trading-bot', 'trading-platform', 'trading-strategies', 'zvt']",3895,https://github.com/zvtvz/zvt
hikyuu,fasiondog/hikyuu,Hikyuu Quant Framework 基于C++/Python的极速开源量化交易研究框架，同时可基于策略部件进行资产重用，快速累积策略资产。,"['algorithms-trading', 'backtesting', 'cpp', 'finance', 'fintech', 'python', 'quant', 'stock', 'system-trading', 'trading', 'vestment']",2928,https://github.com/fasiondog/hikyuu
FISCO-BCOS,FISCO-BCOS/FISCO-BCOS,"FISCO BCOS（发音为/ˈfɪskl bi:ˈkɒz/）是一个稳定、高效、安全的许可区块链平台，已被广泛应用于现实的行业应用。截至目前，已拥有5000多家企事业单位，400多个产业数字化标杆应用，涵盖文化版权、司法服务、政府服务、物联网、金融、智慧社区、房地产建设、社区治理、乡村振兴等领域。FISCO BCOS (pronounced /ˈfɪskl bi:ˈkɒz/) is a stable, efficient, and secure permissioned blockchain platform that has been widely used in real-world industry applications. ","['bcos', 'blockchain', 'consensus', 'consortium', 'crud', 'crypto', 'evm', 'fintech', 'fisco', 'fisco-bcos', 'p2p', 'pbft', 'precompiled', 'raft', 'rpc', 'security', 'solidity', 'synchronization', 'zero-knowledge']",2543,https://github.com/FISCO-BCOS/FISCO-BCOS
TradeMaster,TradeMaster-NTU/TradeMaster,TradeMaster is an open-source platform for quantitative trading empowered by reinforcement learning :fire: :zap: :rainbow:,"['finance', 'fintech', 'investment-strategies', 'jupyter-notebook', 'machine-learning', 'python', 'pytorch', 'quantitative-trading', 'reinforcement-learning', 'stock-market', 'trading-platform']",2362,https://github.com/TradeMaster-NTU/TradeMaster
finta,peerchemist/finta,Common financial technical indicators implemented in Pandas.,"['algorithmic-trading', 'algotrading', 'fintech', 'pandas', 'python', 'technical-analysis', 'trading', 'trading-algorithms', 'trading-strategy']",2237,https://github.com/peerchemist/finta
fineract,apache/fineract,Apache Fineract,"['apache', 'banking', 'finance', 'fintech', 'group-lending', 'group-savings', 'java', 'lending', 'loans', 'microfinance', 'savings', 'social-impact', 'tech4good']",1959,https://github.com/apache/fineract
awesome-deep-trading,cbailes/awesome-deep-trading,List of awesome resources for machine learning-based algorithmic trading,"['cryptocurrency', 'deep-learning', 'deep-neural-networks', 'deep-reinforcement-learning', 'deep-trading', 'fintech', 'frequency-trading', 'machine-learning', 'quantitative-trading', 'stock-trading', 'trading-algorithms', 'trading-bot', 'trading-bots']",1821,https://github.com/cbailes/awesome-deep-trading
openmeter,openmeterio/openmeter,"Metering and Billing for AI, API and DevOps. Collect and aggregate millions of usage events in real-time and enable usage-based billing.","['analytics', 'billing', 'clickhouse', 'cost', 'finops', 'fintech', 'golang', 'kafka', 'metering', 'payment', 'pricing', 'stripe', 'usage', 'usage-based-billing', 'usage-based-pricing']",1774,https://github.com/openmeterio/openmeter
hey,bigint/hey,Hey is a decentralized and permissionless social media app built with Lens Protocol 🌿,"['blockchain', 'crypto', 'dapp', 'graphql', 'hacktoberfest', 'lens-protocol', 'nextjs', 'react', 'social-media', 'tailwindcss', 'turborepo', 'typescript', 'vitest', 'wagmi', 'web3']",29518,https://github.com/bigint/hey
web3.js,web3/web3.js,Collection of comprehensive TypeScript libraries for Interaction with the Ethereum JSON RPC API and utility functions.,"['abi-decoders', 'abi-encoders', 'api', 'ethereum', 'javascript', 'typescript', 'web3', 'web3js']",19969,https://github.com/web3/web3.js
gun,amark/gun,An open source cybersecurity protocol for syncing decentralized graph data.,"['artificial-intelligence', 'big-data', 'blockchain', 'crdt', 'crypto', 'cryptography', 'dapp', 'database', 'decentralized', 'dweb', 'encryption', 'end-to-end', 'graph', 'machine-learning', 'metaverse', 'offline-first', 'p2p', 'protocol', 'realtime', 'web3']",18838,https://github.com/amark/gun
WTF-Solidity,AmazingAng/WTF-Solidity,WTF Solidity 极简入门教程，供小白们使用。Now supports English! 官网: https://wtf.academy,"['airdrop', 'auction', 'blockchain', 'dapp', 'dapps', 'erc20', 'erc721', 'ethereum', 'merkle-tree', 'nft', 'open-source', 'signature-verification', 'smart-contracts', 'solidity', 'solidity-contracts', 'tutorial-code', 'web3']",13789,https://github.com/AmazingAng/WTF-Solidity
full-blockchain-solidity-course-py,smartcontractkit/full-blockchain-solidity-course-py,"Ultimate Solidity, Blockchain, and Smart Contract - Beginner to Expert Full Course | Python Edition","['blockchain', 'chainlink', 'dapp', 'ethereum', 'smart-contracts', 'solidity', 'web3']",11232,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
